Portability,Data Type Integrity,Documentation,Encryption,Exception Handling,Format,Functional Semantics,Functional Syntax,Input Output Handling,Resource Handling,Structure
Data Type Integrity,0.00,1/4,3,1/5,2,3,2,1/6,1/3,2
Documentation,0.00,0.00,5,1/3,5,5,1,1/4,1/4,4
Encryption,0.00,0.00,0.00,1/7,1,1,1/3,1/7,1/5,1
Exception Handling,0.00,0.00,0.00,0.00,4,6,4,1/2,2,4
Format,0.00,0.00,0.00,0.00,0.00,1,1/3,1/8,1/7,1/2
Functional Semantics,0.00,0.00,0.00,0.00,0.00,0.00,1/3,1/9,1/5,1/4
Functional Syntax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1/6,1/8,1/2
Input Output Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3
Resource Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4
Structure,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
